name,params,accuracy,macro_precision,macro_recall,macro_f1,macro_auc
Custom CNN,423526,0.32588916459884204,0.054314860766473676,0.16666666666666666,0.08192971511748805,0.4790124518694094
ResNet50,24113798,0.76095947063689,0.7190893446084221,0.7803087653806479,0.7242731363889462,0.9559870884220195
